,Unnamed: 0,specimen__id,swc__fname,structure_parent__acronym,structure__layer,Transgenic_line,donor__id,Subclass_or_type,structure_parent__id,model__fold,structure__safe_name,structure_merge__acronym
0,0,17109_1701-X8048-Y22277,1119749347_17109_1701-X8048-Y22277_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,6.0,AId_layer6,Isocortex_layer6
1,1,17109_1801-X6698-Y12550,1119749349_17109_1801-X6698-Y12550_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,9.0,AId_layer6,Isocortex_layer6
2,2,17109_1901-X9602-Y10508,1119749351_17109_1901-X9602-Y10508_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,8.0,AId_layer6,Isocortex_layer6
3,3,17109_2201-X8046-Y23301,1119749353_17109_2201-X8046-Y23301_reg.swc,MOs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,993.0,3.0,MOs_layer6,Isocortex_layer6
4,4,17109_2301-X8535-Y23051,1119749356_17109_2301-X8535-Y23051_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,3.0,AId_layer6,Isocortex_layer6
5,5,17109_2301-X9418-Y23665,1119749358_17109_2301-X9418-Y23665_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,1.0,AId_layer6,Isocortex_layer6
6,6,17109_2401-X9338-Y2394,1119749362_17109_2401-X9338-Y2394_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,7.0,AId_layer6,Isocortex_layer6
7,7,17109_2401-X8977-Y24184,1119749360_17109_2401-X8977-Y24184_reg.swc,MOp,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,985.0,7.0,MOp_layer6,Isocortex_layer6
8,8,17109_2401-X9954-Y9122,1119749366_17109_2401-X9954-Y9122_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,5.0,AId_layer6,Isocortex_layer6
9,9,17109_2401-X9695-Y9693,1119749364_17109_2401-X9695-Y9693_reg.swc,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,583.0,1.0,CLA_layernan,CLA
10,10,17109_2500-X9864-Y9311,1119749368_17109_2500-X9864-Y9311_reg.swc,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,583.0,0.0,CLA_layernan,CLA
11,11,17109_2601-X9296-Y24691,1119749372_17109_2601-X9296-Y24691_reg.swc,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,583.0,2.0,CLA_layernan,CLA
12,12,17109_2601-X9498-Y8169,1119749374_17109_2601-X9498-Y8169_reg.swc,AId,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,104.0,4.0,AId_layer6,Isocortex_layer6
13,13,17109_2601-X10213-Y8783,1119749370_17109_2601-X10213-Y8783_reg.swc,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,583.0,4.0,CLA_layernan,CLA
14,14,17109_3101-X10824-Y7188,1119749376_17109_3101-X10824-Y7188_reg.swc,CLA,,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,583.0,7.0,CLA_layernan,CLA
15,15,17109_3701-X9228-Y26684,1119749378_17109_3701-X9228-Y26684_reg.swc,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,378.0,7.0,SSs_layer6,Isocortex_layer6
16,16,17109_4101-X6753-Y6197,1119749380_17109_4101-X6753-Y6197_reg.swc,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,378.0,5.0,SSs_layer6,Isocortex_layer6
17,17,17109_4764-X6621-Y5727,1119749383_17109_4764-X6621-Y5727_reg.swc,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,378.0,1.0,SSs_layer6,Isocortex_layer6
18,18,17109_4772-X9038-Y27257,1119749386_17109_4772-X9038-Y27257_reg.swc,SSs,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,378.0,0.0,SSs_layer6,Isocortex_layer6
19,19,17109_6201-X4328-Y6753,1119749388_17109_6201-X4328-Y6753_reg.swc,VISp,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,385.0,6.0,VISp_layer6,Isocortex_layer6
20,20,17109_6301-X4756-Y24516,1119749390_17109_6301-X4756-Y24516_reg.swc,VISrl,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,417.0,1.0,VISrl_layer6,Isocortex_layer6
21,21,17109_6401-X7989-Y3767,1119749394_17109_6401-X7989-Y3767_reg.swc,AUDv,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,1018.0,7.0,AUDv_layer6,Isocortex_layer6
22,22,17109_6401-X7641-Y3978,1119749392_17109_6401-X7641-Y3978_reg.swc,AUDv,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,1018.0,2.0,AUDv_layer6,Isocortex_layer6
