,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym
0,AA0760,10.25378/janelia.7710050,2018-06-14T17:03:18.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,anti-GFP 2x NucID J25,AA0760.swc,194.0,LHA,,194.0,LHA
1,AA0295,10.25378/janelia.5527840,2017-08-10T19:05:24.000Z,Rorb-Cre-1,AAV2/1.FLEX-tdTomato,tdTomato,AA0295.swc,575.0,CL,,575.0,CL
2,AA0160,10.25378/janelia.5527375,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0160.swc,33.0,VISp6a,6a,385.0,VISp
3,AA1003,10.25378/janelia.7821989,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1003.swc,931.0,PG,,931.0,PG
4,AA0859,10.25378/janelia.7740050,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0859.swc,962.0,MOs2/3,2/3,993.0,MOs
5,AA0046,10.25378/janelia.5521729,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0046.swc,648.0,MOp5,,648.0,MOp5
6,AA1081,10.25378/janelia.7825307,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1081.swc,797.0,ZI,,797.0,ZI
7,AA0829,10.25378/janelia.7739774,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0829.swc,382.0,CA1,,382.0,CA1
8,AA0381,10.25378/janelia.7614014,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0381.swc,1037.0,POST,,1037.0,POST
9,AA0154,10.25378/janelia.5527357,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0154.swc,10703.0,DG-mo,,10703.0,DG-mo
10,AA0465,10.25378/janelia.7615889,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0465.swc,767.0,MOs5,5,993.0,MOs
11,AA0016,10.25378/janelia.5521630,2017-01-15T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0016.swc,255.0,AV,,255.0,AV
12,AA0851,10.25378/janelia.7739948,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0851.swc,382.0,CA1,,382.0,CA1
13,AA0819,10.25378/janelia.7739726,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0819.swc,382.0,CA1,,382.0,CA1
14,AA1103,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1103.swc,733.0,VPM,,733.0,VPM
15,AA0685,10.25378/janelia.7704272,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0685.swc,484682470.0,ProS,,484682470.0,ProS
16,AA0108,10.25378/janelia.5526703,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0108.swc,767.0,MOs5,5,993.0,MOs
17,AA0938,10.25378/janelia.7803989,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0938.swc,364.0,PSTN,,364.0,PSTN
18,AA0802,10.25378/janelia.7739555,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0802.swc,962.0,MOs2/3,2/3,993.0,MOs
19,AA0049,10.25378/janelia.5521741,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0049.swc,1020.0,PO,,1020.0,PO
20,AA0247,10.25378/janelia.5527669,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0247.swc,484682470.0,ProS,,484682470.0,ProS
21,AA0422,10.25378/janelia.7614236,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0422.swc,767.0,MOs5,5,993.0,MOs
22,AA0612,10.25378/janelia.7653152,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0612.swc,629.0,VAL,,629.0,VAL
23,AA1190,n/a,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1190.swc,648.0,MOp5,,648.0,MOp5
24,AA0357,10.25378/janelia.7613840,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0357.swc,155.0,LD,,155.0,LD
25,AA0981,10.25378/janelia.7804478,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0981.swc,1033.0,COPY,,1033.0,COPY
26,AA0386,10.25378/janelia.7614056,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0386.swc,1084.0,PRE,,1084.0,PRE
27,AA0438,10.25378/janelia.7614317,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0438.swc,351.0,BST,,351.0,BST
28,AA0041,10.25378/janelia.5521711,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0041.swc,844.0,MOp6a,,844.0,MOp6a
29,AA0511,10.25378/janelia.7639793,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0511.swc,313.0,MB,,313.0,MB
30,AA0840,10.25378/janelia.7739903,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0840.swc,767.0,MOs5,5,993.0,MOs
31,AA0463,10.25378/janelia.7615868,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0463.swc,1021.0,MOs6a,6a,993.0,MOs
32,AA1016,10.25378/janelia.7822037,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1016.swc,1007.0,SIM,,1007.0,SIM
33,AA0190,10.25378/janelia.5527474,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0190.swc,767.0,MOs5,5,993.0,MOs
34,AA0367,10.25378/janelia.7613909,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0367.swc,575.0,CL,,575.0,CL
35,AA0359,10.25378/janelia.7613849,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0359.swc,218.0,LP,,218.0,LP
36,AA0911,10.25378/janelia.7780874,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0911.swc,526157196.0,FRP6a,6a,184.0,FRP
37,AA0576,10.25378/janelia.7649849,2018-04-03T15:08:17.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0576.swc,767.0,MOs5,5,993.0,MOs
38,AA1069,10.25378/janelia.7825211,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1069.swc,437.0,SPVI,,437.0,SPVI
39,AA0635,10.25378/janelia.7658069,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0635.swc,962.0,MOs2/3,2/3,993.0,MOs
40,AA1017,10.25378/janelia.7822040,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1017.swc,1041.0,PFL,,1041.0,PFL
41,AA0558,10.25378/janelia.7640243,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0558.swc,194.0,LHA,,194.0,LHA
42,AA0073,10.25378/janelia.5521795,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0073.swc,64.0,AD,,64.0,AD
43,AA0761,10.25378/janelia.7710053,2018-06-14T17:03:18.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,anti-GFP 2x NucID J25,AA0761.swc,194.0,LHA,,194.0,LHA
44,AA0233,10.25378/janelia.5527612,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0233.swc,767.0,MOs5,5,993.0,MOs
45,AA0650,10.25378/janelia.7658144,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0650.swc,767.0,MOs5,5,993.0,MOs
46,AA0518,10.25378/janelia.7639832,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0518.swc,255.0,AV,,255.0,AV
47,AA0342,10.25378/janelia.7613765,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0342.swc,629.0,VAL,,629.0,VAL
48,AA0583,10.25378/janelia.7649900,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0583.swc,962.0,MOs2/3,2/3,993.0,MOs
49,AA0660,10.25378/janelia.7658234,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0660.swc,656.0,MOs1,1,993.0,MOs
50,AA1136,n/a,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1136.swc,484682520.0,or,,484682520.0,or
51,AA0904,10.25378/janelia.7780844,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/5 Syn-iCre + AAV2/5 CAG-Flex GFP,anti-GFP,AA0904.swc,797.0,ZI,,797.0,ZI
