,Unnamed: 0,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym,model__fold,structure__safe_name,structure_merge__acronym
0,0,AA0760,10.25378/janelia.7710050,2018-06-14T17:03:18.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,anti-GFP 2x NucID J25,AA0760.swc,194.0,LHA,,194.0,LHA,7.0,LHA_layernan,LHA
1,1,AA0295,10.25378/janelia.5527840,2017-08-10T19:05:24.000Z,Rorb-Cre-1,AAV2/1.FLEX-tdTomato,tdTomato,AA0295.swc,575.0,CL,,575.0,CL,1.0,CL_layernan,CL
2,2,AA0160,10.25378/janelia.5527375,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0160.swc,33.0,VISp6a,6a,385.0,VISp,2.0,VISp_layer6a,Isocortex_layer6
3,3,AA1003,10.25378/janelia.7821989,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1003.swc,931.0,PG,,931.0,PG,7.0,PG_layernan,PG
4,4,AA0859,10.25378/janelia.7740050,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0859.swc,962.0,MOs2/3,2/3,993.0,MOs,9.0,MOs_layer23,Isocortex_layer2/3
5,5,AA0046,10.25378/janelia.5521729,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0046.swc,648.0,MOp5,,648.0,MOp5,7.0,MOp5_layernan,Isocortex_layernan
6,6,AA1081,10.25378/janelia.7825307,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1081.swc,797.0,ZI,,797.0,ZI,5.0,ZI_layernan,ZI
7,7,AA0829,10.25378/janelia.7739774,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0829.swc,382.0,CA1,,382.0,CA1,6.0,CA1_layernan,CA1
8,8,AA0381,10.25378/janelia.7614014,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0381.swc,1037.0,POST,,1037.0,POST,7.0,POST_layernan,POST
9,9,AA0154,10.25378/janelia.5527357,2017-04-19T21:51:49.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0154.swc,10703.0,DG-mo,,10703.0,DG-mo,9.0,DG-mo_layernan,DG-mo
10,10,AA0465,10.25378/janelia.7615889,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0465.swc,767.0,MOs5,5,993.0,MOs,4.0,MOs_layer5,Isocortex_layer5
